#label len H_moment C C_dens A_index Aro B_index H_ratio I_index Iep Helix
1 27 0.319295 2 0.00111994 112.222 0.037037 0.0518519 0.407407 7.02593 10.4084 0.518519
-1 17 0.38135 0 0.000574341 143.529 0.117647 -2.02647 0.588235 6.13529 10.0254 0.176471
-1 4 0.514952 -1 -0.00187097 195 0.25 -0.7225 0.5 7.5 3.15039 0
-1 44 0.10195 2 0.000553675 44.3182 0.113636 1.96159 0.340909 36.8955 8.1189 0.113636
1 23 0.490532 3 0.00128644 89.1304 0.0869565 0.193913 0.434783 11.9609 10.6904 0.391304
1 37 0.562441 6 0.00133533 89.4595 0.108108 3 0.351351 23.3432 11.1514 0.675676
1 24 0.371037 3 0.00150238 102.083 0.125 -0.951667 0.666667 35.2625 10.2651 0.625
1 13 0.46038 0 0.000720835 142.308 0.153846 -1.99231 0.615385 -23.4231 10.0254 0.307692
1 21 0.373035 0 -1.75771e-06 143.81 0.0952381 -0.285714 0.52381 -3.02381 6.6875 0.428571
-1 24 0.333911 2 0.000700623 93.75 0.166667 2.96333 0.333333 58.85 9.76855 0.791667
-1 18 0.252007 2 0.000918239 53.8889 0.111111 2.78722 0.222222 -11.5389 10.4106 0.111111
1 24 0.361021 2 0.0011348 126.25 0.0833333 -0.7825 0.666667 6.99583 9.69336 0.708333
1 20 0.337466 2 0.0012849 146.5 0.15 -1.522 0.75 21.245 9.76953 0.75
-1 29 0.301379 0 3.06844e-05 73.7931 0.172414 -0.186897 0.413793 -2.67241 7.66406 0
1 28 0.22177 3 0.0012893 104.643 0.0357143 0.8225 0.535714 -13.9179 10.1475 0.678571
1 30 0.283278 8 0.00270723 130 0.0666667 -0.051 0.433333 -2.96333 11.5762 0.266667
1 34 0.298027 3 0.000890849 92.3529 0.0588235 -0.148824 0.5 6.26765 10.9868 0.705882
-1 12 1.21208 5 0.00379982 161.667 0 5.29333 0.5 120.683 12.7993 0.666667
1 12 0.625379 5 0.00360111 137.5 0.0833333 5.43583 0.416667 145.292 12.7993 0
-1 36 0.225965 -4 -0.00108581 89.4444 0.166667 1.83917 0.305556 51.95 3.96338 0.861111
1 24 0.405686 4 0.00172037 52.9167 0.166667 1.77 0.291667 -13.525 10.6172 0.75
1 13 0.479438 2 0.00219135 180.769 0 -0.657692 0.692308 -3.83077 10.9868 0.769231
-1 30 0.427971 5 0.00152091 78 0.0666667 1.45033 0.333333 5.00667 10.6804 0.4
1 16 0.583643 3 0.00233055 164.375 0.0625 -0.85875 0.625 -11.85 11.1567 0.75
-1 27 0.433526 8 0.00283668 115.556 0.037037 2.3237 0.407407 45.4333 12.1792 0.740741
1 29 0.0970312 2 0.000766953 64.1379 0.172414 1.17586 0.482759 42.1345 8.11597 0.172414
-1 18 0.0749356 3 0.00188085 113.889 0.111111 2.36333 0.333333 -13.0833 10.8362 0.333333
-1 35 0.493809 -1 -0.000442935 55.7143 0.0857143 3.82 0.142857 88.3686 4.823 0.914286
1 16 0.315588 6 0.0029888 73.125 0.1875 6.235 0.25 180.662 12.8784 0.6875
1 27 0.31731 2 0.000811393 108.889 0.037037 -0.114815 0.481481 -8.73704 10.4219 0.666667
1 19 0.394026 1 0.000591663 138.947 0.0526316 -0.205789 0.578947 20.4211 10.0254 0.578947
